epoch,accuracy,loss,val_accuracy,val_loss
0,0.3398679792881012,2.863508939743042,0.4871683120727539,2.0517172813415527
1,0.5517227649688721,1.803594708442688,0.6120396256446838,1.5022348165512085
2,0.6158812046051025,1.5270129442214966,0.6696633696556091,1.2493406534194946
3,0.6563432216644287,1.347088098526001,0.7091881036758423,1.0905787944793701
4,0.683009922504425,1.2252912521362305,0.7317623496055603,1.0016565322875977
5,0.7054785490036011,1.1258176565170288,0.7255049347877502,1.0181206464767456
6,0.7257161736488342,1.0450427532196045,0.744475245475769,0.9573299288749695
7,0.7426138520240784,0.9726295471191406,0.7596435546875,0.8836420774459839
8,0.7544422149658203,0.9132565259933472,0.7493465542793274,0.9315761923789978
9,0.7709571123123169,0.8556981682777405,0.7526336908340454,0.9426145553588867
10,0.7809504866600037,0.8077841997146606,0.7531089186668396,0.955401599407196
11,0.7928184866905212,0.7583014369010925,0.7573861479759216,0.9516401886940002
12,0.8013861179351807,0.7196725010871887,0.758495032787323,0.9246038198471069
